filename	refID	dokID	shortTitle	title
nl-20170522-030.xml	lov/2017-05-22-30	NL/lov/2017-05-22-30	Tivoliloven	Lov om fornøyelsesinnretninger (tivoliloven)
nl-20170616-043.xml	lov/2017-06-16-43	NL/lov/2017-06-16-43	Endringslov til folketrygdloven mv.	Lov om endringer i folketrygdloven mv. (arbeidsavklaringspenger og tilleggsstønader til arbeidsrettede tiltak mv.)
nl-20170616-047.xml	lov/2017-06-16-47	NL/lov/2017-06-16-47	Gjeldsinformasjonsloven	Lov om gjeldsinformasjon ved kredittvurdering av privatpersoner (gjeldsinformasjonsloven)
nl-20170616-048.xml	lov/2017-06-16-48	NL/lov/2017-06-16-48	Adopsjonsloven	Lov om adopsjon (adopsjonsloven)
nl-20170616-050.xml	lov/2017-06-16-50	NL/lov/2017-06-16-50	Diskrimineringsombudsloven – diskrol	Lov om Likestillings- og diskrimineringsombudet og Diskrimineringsnemnda (diskrimineringsombudsloven)
nl-20170616-051.xml	lov/2017-06-16-51	NL/lov/2017-06-16-51	Likestillings- og diskrimineringsloven – ldl	Lov om likestilling og forbud mot diskriminering (likestillings- og diskrimineringsloven)
nl-20170616-053.xml	lov/2017-06-16-53	NL/lov/2017-06-16-53	Endringslov til pasient- og brukarrettslova, helsepersonellova m.m.	Lov om endringar i pasient- og brukarrettslova, helsepersonellova m.m. (styrking av rettsstillinga til barn ved yting av helse- og omsorgstenester m.m.)
nl-20170616-056.xml	lov/2017-06-16-56	NL/lov/2017-06-16-56	Lov om Statens undersøkelseskommisjon for helse- og omsorgstjenesten	Lov om Statens undersøkelseskommisjon for helse- og omsorgstjenesten
nl-20170616-060.xml	lov/2017-06-16-60	NL/lov/2017-06-16-60	Klimaloven	Lov om klimamål (klimaloven)
nl-20170616-064.xml	lov/2017-06-16-64	NL/lov/2017-06-16-64	Lov om overføring av ansvar for kollektivtransport	Lov om overføring av ansvar for kollektivtransport
nl-20170616-065.xml	lov/2017-06-16-65	NL/lov/2017-06-16-65	Eierseksjonsloven – eiersl	Lov om eierseksjoner (eierseksjonsloven)
nl-20170616-067.xml	lov/2017-06-16-67	NL/lov/2017-06-16-67	Statsansatteloven	Lov om statens ansatte mv. (statsansatteloven)
nl-20170616-069.xml	lov/2017-06-16-69	NL/lov/2017-06-16-69	Yrkeskvalifikasjonsloven	Lov om godkjenning av yrkeskvalifikasjoner (yrkeskvalifikasjonsloven)
nl-20170621-088.xml	lov/2017-06-21-88	NL/lov/2017-06-21-88	Lov om informasjon (skjermingsverdige objekter og bunnforhold mv)	Lov om informasjon om bestemt angitte områder, skjermingsverdige objekter og bunnforhold
nl-20171215-107.xml	lov/2017-12-15-107	NL/lov/2017-12-15-107	Helsetilsynsloven	Lov om statlig tilsyn med helse- og omsorgstjenesten mv. (helsetilsynsloven)
nl-20171215-112.xml	lov/2017-12-15-112	NL/lov/2017-12-15-112	Lov om utprøving av selvkjørende kjøretøy	Lov om utprøving av selvkjørende kjøretøy
nl-20171219-118.xml	lov/2017-12-19-118	NL/lov/2017-12-19-118	Endringslov til eigedomsskattelova	Lov om endringer i lov 6. juni 1975 nr. 29 om eigedomsskatt til kommunane (eigedomsskattelova)
